actb	cck	snhg11	sepw1	gm14418	ncam1	pcsk1n	cenpf	tcf4	cxcl14	
actb	bc024978	fabp7	ccnd2	serbp1	nasp	hnrnpa2b1	mt-nd5	dbi	cst3	
tuba1a	lpar2	nnat	hsp90ab1	sox11	sox4	tubb2b	hnrnpa2b1	tubb3	anp32a	
cox4i1	tmsb4x	mt-nd1	rtn1	actb	rps5	tuba1a	tubb5	tmsb10	mt-nd4	
arl6ip1	prc1	marcks	sfpq	hnrnpab	smc4	nasp	rps21	dnajc9	mbtd1	
mt-nd1	rtn1	tmsb4x	mt-nd4	mt-cytb	sepw1	tmsb10	snhg11	stmn2	npy	
ttr	apoe	tmsb4x	cst3	actb	sepp1	ctsb	sparc	c1qa	tyrobp	
tuba1a	nnat	tubb2b	tmsb4x	rtn1	tubb5	tubb3	mt-nd1	creb3	stmn2	
tuba1a	tubb5	nnat	sox11	sox4	eif4ebp2	tubb3	tubb2b	hsp90ab1	h3f3b	
rbm25	pabpc1	hnrnpm	ccnd2	gnb2l1	marcks	ptms	mt-nd2	ptma	chd4	
prmt3	tuba1a	tubb2b	nnat	tubb5	tubb3	sox4	rps5	rps14	cfl1	
mt-nd1	ap4e1	mt-cytb	snhg11	mt-nd4	cxcl14	hnrnpa2b1	mt-nd2	rbm25	mt-nd5	
spryd7	calm1	ncl	snhg11	ccnd2	mt-nd5	hsp90ab1	arpp21	pcp4	serbp1	
ubap2l	ccnd2	hsp90ab1	hnrnpa2b1	ncl	actb	nasp	serbp1	marcks	hnrnpab	
safb2	hsp90ab1	hnrnpa2b1	ncl	top2a	ccnd2	nasp	marcks	serbp1	ezh2	
tmsb4x	apoe	cst3	mt-nd1	sepp1	dbi	actb	bsg	tyrobp	rpl13a	
mt-nd5	rgs5	mt-nd2	actb	hsp90b1	serbp1	mt-nd1	gnas	st13	cox6b1	
rnf149	hsp90ab1	hnrnpa2b1	serbp1	ncl	nnat	anp32a	marcks	ptms	hnrnpd	
mt-nd1	actb	tmsb10	dbi	rps5	calm1	sepw1	mt-cytb	rtn1	ncam1	
2310033p09rik	tubb5	ccnd2	sox4	hsp90ab1	meis2	h2afv	dek	sox11	hnrnpa2b1	
pfkfb1	nnat	jun	hsp90ab1	rbm25	ezh2	anp32b	dek	mt-cytb	hnrnpa2b1	
top2a	hnrnpa2b1	smc4	ccnd2	arl6ip1	ezh2	hsp90ab1	cenpf	marcks	ncl	
mtpn	sepw1	tmsb4x	calm1	snhg11	mllt11	arpp21	pcp4	tmsb10	snca	
rbm27	top2a	hnrnpa2b1	hsp90ab1	ncl	serbp1	marcks	smc4	ccnd2	nasp	
mt-nd1	rtn1	mt-cytb	mt-nd4	tmsb4x	stmn2	stmn3	snhg11	ly6h	tubb2b	
npy	nasp	jun	rprm	smc4	hnrnpc	ccnd2	rps26	ncl	prpf40a	
tuba1a	tubb5	nnat	tubb2b	tubb3	sox4	smarcb1	sox11	h3f3b	tmsb4x	
nol7	hsp90ab1	hnrnpa2b1	ncl	ccnd2	serbp1	top2a	nasp	dek	ezh2	
