mt-nd1	mbp	plp1	rtn1	cxcl14	shisa4	tmsb4x	npy	mt-nd4	snhg11	
tmsb4x	fth1	actb	bsg	cst3	npy	sparc	apoe	pfn1	mt-nd1	
tuba1a	tubb5	nnat	tubb3	tubb2b	sox4	sox11	mterf2	map1b	tmsb4x	
fabp7	dbi	cst3	rgs5	bsg	fth1	4930523c07rik	sparc	serbp1	mt3	
recql5	hnrnpa2b1	fabp7	hsp90ab1	mt-nd5	ezh2	nasp	hnrnpab	dek	ncl	
ccnd2	hsp90ab1	h2afv	dbi	top2a	fabp7	ncl	apool	nasp	hnrnpa2b1	
tubb5	tuba1a	plekhg2	sox11	hsp90ab1	sox4	hnrnpa2b1	ccnd2	tubb3	meis2	
mt-nd1	mt-cytb	mt-nd4	pign	snhg11	cxcl14	atp1b1	vip	ly6h	cck	
nnat	tuba1a	atg10	tubb5	tubb3	sox11	actb	tubb2b	sox4	tmsb10	
mt-nd1	rtn1	mt-cytb	tmsb4x	mt-nd4	nnat	stmn2	pcdhb6	tubb2b	tmsb10	
mt-nd5	mt-cytb	ncl	mt-nd2	serbp1	meis2	nolc1	ccnd2	dek	hsp90ab1	
metap2	hsp90ab1	hnrnpa2b1	ncl	serbp1	ccnd2	marcks	top2a	nasp	dek	
mt-nd1	snhg11	mt-nd4	mt-cytb	arpp21	fabp7	slc16a6	atp2b1	pcp4	cst3	
mt-nd1	snhg11	rtn1	tmsb4x	sepw1	mllt11	aa415398	tmsb10	cxcl14	sst	
mt-nd1	meis2	sec62	penk	ptms	alcam	ube3a	ttc3	rsrp1	lsamp	
mt-nd1	mt-cytb	snx13	mt-nd4	snhg11	cxcl14	atp1b1	mt-nd2	mt-nd5	pcsk1n	
tuba1a	nnat	tmsb4x	tubb2b	tubb5	rtn1	tubb3	rpl13a	rps5	marcksl1	
nnat	sox11	tuba1a	sst	tmsb4x	tubb2b	tubb3	tubb5	tac1	crmp1	
tuba1a	fabp7	leap2	nnat	top2a	tubb5	nusap1	hmgn1	dbi	ywhab	
srp14	scrg1	s100a16	anp32a	hnrnpa2b1	cdo1	s100a13	hnrnpd	ezh2	nasp	
top2a	cenpe	rad21	fabp7	hnrnpd	eif3a	arl6ip1	ube2c	nop58	mki67	
tuba1a	nnat	tubb2b	tmsb4x	tubb5	tubb3	tmsb10	rtn1	stmn2	sox4	
hnrnpa2b1	ccnd2	nnat	top2a	dlx1	ezh2	hsp90ab1	smc4	arl6ip1	anp32a	
mt-nd1	mt-cytb	mt-nd4	cxcl14	snhg11	atp1b1	stmn3	pcsk1n	ly6h	vip	
mt-nd1	mt-cytb	mt-nd4	snhg11	actb	arpp21	atp2b1	pcp4	rtn1	ly6h	
actb	meis2	tuba1a	npy	sst	tmsb4x	ppil4	ywhae	nnat	ccnd2	
apoe	snhg11	ramp1	reln	id4	fth1	rplp1	itm2b	ncl	rps19	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	abr	sepw1	stmn2	ly6h	stmn3	
actb	mt-nd1	mt-cytb	tmsb4x	fth1	mt-nd4	mbp	plp1	npy	pcp4	
tmsb4x	mrps17	sepw1	tubb5	rps5	tmsb10	tubb2b	rps14	tuba1a	mllt11	
fabp7	hsp90ab1	dbi	ncl	serbp1	top2a	ccnd2	hnrnpa2b1	pabpc1	marcks	
hnrnpa2b1	ncl	hsp90ab1	rps26	dek	top2a	hnrnpab	marcks	ran	ranbp1	
fabp7	dbi	kif6	hsp90ab1	top2a	mt-nd5	marcks	hnrnpa2b1	hsp90b1	serbp1	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	cxcl14	ly6h	stmn3	pcsk1n	npy	
mt-nd1	mt-cytb	mt-nd4	snhg11	tmsb4x	rtn1	sepw1	atp1b1	ly6h	ndufa4	
tuba1a	nnat	sox11	nuak1	tmsb10	tubb2b	tubb3	tmsb4x	map1b	ptms	
tuba1a	nnat	tubb5	tubb2b	tubb3	sox4	tmsb4x	sox11	vps37c	h3f3b	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	cxcl14	vezt	stmn2	stmn3	ly6h	
fabp7	dbi	ccnd2	hsp90ab1	top2a	ncl	serbp1	nasp	dek	vim	
mt-nd1	snhg11	mt-cytb	actb	mt-nd4	arpp21	sepw1	pcp4	atp2b1	rtn1	
hsp90b1	flt1	mest	hspa5	anp32b	hnrnpa2b1	smarcc2	ncl	dlx1	smc4	
abracl	neurod6	actb	marcksl1	hnrnpab	rala	st13	ccnd2	rpl14	rps26	
rfc2	ccnd2	fabp7	dbi	ranbp1	h2afv	dek	nasp	rpl8	rrm2	
nnat	tuba1a	pex26	sox11	ptms	mt-cytb	stmn2	tubb3	jun	map1b	
top2a	ccnd2	smc4	hnrnpa2b1	gm9008	arl6ip1	marcks	cenpf	ncl	serbp1	
snhg11	s100a13	cspg5	cst3	s100a16	cox4i1	hes5	sepw1	arl6ip1	fabp7	
mt-nd1	cstf2	snhg11	mt-cytb	ncl	nasp	dek	mt-nd4	serbp1	hsp90ab1	
tmsb4x	cdk2ap2	nnat	tuba1a	tmsb10	sepw1	tubb2b	rtn1	actb	tubb3	
nnat	sox4	tuba1a	rps26	ptms	h2afv	h3f3b	acin1	ywhae	hspa5	
mt-nd1	actb	mt-cytb	mt-nd4	snhg11	ncam1	arpp21	pcp4	rtn1	atp2b1	
mt-nd1	mt-nd4	pdlim7	tmsb4x	mt-cytb	rtn1	snhg11	sepw1	ly6h	cxcl14	
mbp	plp1	mt-nd1	actb	cnp	cldn11	mt-nd4	dynll2	mt-cytb	cd81	
tmsb4x	tuba1a	pdcd6	tubb5	tubb2b	tubb3	rps5	rtn1	tmsb10	nnat	
hsp90ab1	nnat	nrep	pabpc1	meis2	serbp1	nasp	eif3c	gnb2l1	dlx1	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	arpp21	ly6h	atp2b1	tmem158	pcp4	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	atp2b1	pcp4	actb	ly6h	atp1b1	
actb	sox11	tuba1a	tubb5	sh3rf1	nnat	tubb3	sox4	tmsb4x	tubb2b	
tuba1a	tubb5	tmsb4x	nnat	tubb2b	tubb3	2310036o22rik	sox4	tmsb10	h3f3b	
mt-nd1	tmsb4x	mt-cytb	mt-nd4	arhgef1	rtn1	npy	snhg11	stmn3	atp1b1	
mt-nd1	mt-cytb	rtn1	mt-nd4	stmn2	slitrk3	snhg11	tmsb10	tmsb4x	stmn3	
mt-nd1	mt-cytb	mt-nd4	arpp21	actb	ttr	atp2b1	ncam1	snhg11	ofcc1	
tuba1a	nnat	tmsb4x	tubb2b	tubb5	tubb3	tmsb10	rab18	marcksl1	sox4	
tuba1a	kctd20	tubb5	sox11	nnat	sox4	tubb3	tubb2b	hnrnpa2b1	hsp90ab1	
mt-nd1	actb	snhg11	mt-cytb	ncam1	mt-nd4	rtn1	tmsb4x	sepw1	cxcl14	
pqbp1	nnat	hnrnpa2b1	hsp90ab1	tuba1a	marcks	top2a	hnrnpab	serbp1	ezh2	
tuba1a	nnat	tubb2b	tmsb10	tubb3	nol4l	tmsb4x	rtn1	stmn2	map1b	
gtf3c3	hsp90ab1	ncl	serbp1	hnrnpa2b1	top2a	nasp	marcks	ccnd2	pabpc1	
tmsb4x	mt-nd1	nnat	rtn1	tuba1a	tmsb10	tubb2b	sepw1	tubb3	prtn3	
mt-nd1	cxcl14	mt-cytb	snhg11	rtn1	mt-nd4	stmn3	ly6h	stmn2	npy	
hsp90ab1	hnrnpa2b1	ccnd2	ppp2r3c	ncl	serbp1	top2a	marcks	ezh2	nasp	
mt-nd1	adam10	mt-cytb	ncl	mt-nd5	mt-nd2	hnrnpa2b1	hsp90ab1	top2a	nasp	
hsp90ab1	hnrnpa2b1	ccdc137	ncl	serbp1	marcks	ccnd2	pabpc1	nasp	ezh2	
npy	nasp	mt-cytb	dbi	mt-nd2	nedd4	kif1b	rpl32	ddah1	mt-nd5	
fabp7	hsp90ab1	ncl	serbp1	hnrnpa2b1	dbi	dek	nasp	top2a	marcks	
nnat	tuba1a	tubb3	tubb5	tubb2b	bcl11b	foxp1	zfp599	sox11	ptms	
tuba1a	tubb5	nnat	tubb2b	tubb3	sox4	zfp282	sox11	tmsb4x	map1b	
mt-nd1	klf8	mt-cytb	rtn1	mt-nd4	tmsb10	snhg11	sepw1	stmn2	npy	
marcks	rps9	hsp90ab1	vim	ncl	hnrnpa2b1	nasp	rpl32	rpl13a	tuba1b	
hsp90ab1	ndufc2	ckb	fabp7	srm	mt-nd5	npm1	rplp1	ccar1	fubp1	
hsp90ab1	nol8	ncl	hnrnpa2b1	serbp1	marcks	ccnd2	nasp	top2a	ezh2	
mt-cytb	mt-nd5	mt-nd2	ptms	fnbp1l	meis2	marcks	tmem150b	rnd3	acin1	
