carm1	sox11	hsp90ab1	bcl11b	foxp1	ncl	ebf1	ttr	ube2c	ptms	
mt-nd1	mt-cytb	mt-nd4	snhg11	cxcl14	ltbp3	atp1b1	dbi	fabp7	cck	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	cxcl14	ly6h	stmn3	pcsk1n	npy	
hsp90ab1	hnrnpa2b1	ncl	serbp1	nasp	marcks	ccnd2	pabpc1	anp32a	fkbp3	
tmsb4x	mt-nd1	actb	apoe	fth1	mt-cytb	sparc	hexb	mt-nd4	ctsb	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	cxcl14	stmn3	ly6h	pcsk1n	atp1b1	
fabp7	dbi	hsp90ab1	ptn	serbp1	vim	ncl	h2-k1	dek	pabpc1	
trim26	tmsb4x	mt-nd1	rtn1	tuba1a	tubb2b	cxcl14	nnat	tmsb10	stmn2	
ephb2	cxcl14	mt-nd1	cnr1	reln	sox11	tcf4	stmn2	cck	rtn1	
fabp7	dbi	hsp90ab1	ncl	serbp1	ptn	dek	hnrnpa2b1	nasp	marcks	
ptms	fabp7	tuba1a	ttc3	nefm	tcerg1	hnrnpc	rpl8	abi2	hsp90ab1	
ppp1r8	tubb5	sox4	ccnd2	hsp90ab1	hnrnpa2b1	sox11	nasp	tuba1a	nnat	
tmsb4x	sepw1	tmsb10	mt-nd1	mllt11	snhg11	tusc1	rtn1	fth1	cxcl14	
mt-nd1	mt-cytb	snhg11	mt-nd4	npy	dbi	rtn1	pcp4	arpp21	sepw1	
tubb5	tuba1a	nnat	sox4	tubb3	tubb2b	tfip11	sox11	h3f3b	map1b	
mt-nd1	tmed10	mt-cytb	fabp7	cxcl14	dbi	ptn	mt-nd4	mt-nd2	ncl	
tuba1a	tubb5	tubb2b	nnat	tubb3	tmsb4x	rtn1	tmsb10	bcl11b	cfl1	
mt-nd1	sepw1	npy	snhg11	cxcl14	mt-nd4	mt-cytb	pcsk1n	reln	ndufa4	
tuba1a	hnrnpa2b1	nnat	acin1	rbm39	ptms	actb	marcks	dek	sox11	
mt-nd1	plp1	vip	mbp	cxcl14	sirt2	dynll2	cd9	cck	fyn	
calm1	rps3	mt-cytb	hnrnpab	luc7l3	wbp11	marcks	dlx1	hsp90ab1	ptp4a2	
isca1	hnrnpa2b1	hsp90ab1	ncl	serbp1	marcks	ptms	rbm25	anp32a	pabpc1	
hsp90ab1	nasp	hnrnpa2b1	fkbp3	serbp1	mdk	dek	dlx1	nnat	ccnd2	
tuba1a	nnat	sox11	meis2	tubb2b	myo1h	tubb3	rps14	hsp90ab1	map1b	
mt-nd1	actb	mt-cytb	mt-nd4	arpp21	npy	snhg11	tmsb4x	pcp4	ncam1	
abca1	dbi	apoe	fabp7	fth1	ncl	marcks	hsp90ab1	pabpc1	mt-nd5	
mt-nd1	rtn1	tmsb4x	mt-cytb	mt-nd4	tuba1a	tubb2b	tmsb10	stmn2	slc37a4	
ccnd2	tubb5	dek	ncl	sst	fkbp3	hnrnpa2b1	cbx5	tuba1b	pabpc1	
usp21	hsp90ab1	ncl	hnrnpa2b1	ccnd2	smc4	pabpc1	h2afv	dek	mt-nd5	
mt-nd1	mt-cytb	stim2	snhg11	mt-nd4	actb	cxcl14	atp2b1	rtn1	ly6h	
mt-nd1	mt-cytb	mt-nd4	snhg11	cxcl14	rtn1	ly6h	npy	pcsk1n	atp2b1	
mt-nd1	sox11	ccl4	tmsb4x	hexb	ly6h	arpp21	mt-nd4	ndn	b2m	
mbp	plp1	mt-nd1	actb	mt-nd4	sirt2	cldn11	snhg11	mobp	cnp	
mt-nd1	actb	mt-cytb	mt-nd4	rtn1	snhg11	ncam1	ccpg1	ly6h	arpp21	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	arpp21	atp2b1	ly6h	pcsk1n	atp1b1	
sst	hnrnpab	pdap1	ckb	rps26	cdk11b	hsp90ab1	eif3a	smc4	eri1	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	pcnxl3	stmn3	cxcl14	ly6h	atp1b1	
