mt-nd2	cbx5	srsf11	ptma	mt-nd5	ezh2	tcf4	eif4g2	ythdc1	rsrc2	
tmsb4x	apoe	bsg	cst3	actb	sparc	sepp1	mt-nd1	ptn	igfbp7	
mt-nd1	mt-cytb	mt-nd4	snhg11	cxcl14	atp1b1	stmn3	rtn1	ly6h	mt-nd2	
mt-nd1	mt-cytb	mt-nd4	snhg11	cxcl14	atp1b1	cst3	npy	ly6h	vip	
tubb5	tuba1a	sox4	ccnd2	tubb3	nnat	sox11	h3f3b	h2afv	tubb2b	
actb	tmsb4x	cst3	mt-cytb	apoe	ctsd	lgmn	ncapg	hexb	c1qa	
tmsb4x	actb	apoe	mt-nd1	bsg	cst3	sparc	sepp1	calm1	snhg11	
actb	mt-nd1	mt-nd4	snhg11	mt-cytb	ncam1	sepw1	arpp21	pcp4	rtn1	
hsp90ab1	hnrnpa2b1	ncl	top2a	serbp1	marcks	nasp	ezh2	smc4	ccnd2	
mt-nd1	snhg11	mt-cytb	mt-nd4	rtn1	cxcl14	sepw1	ly6h	pcsk1n	stmn3	
mt-nd1	rtn1	mt-cytb	gap43	stmn2	mt-nd4	sepw1	foxp1	tubb2b	tmsb4x	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	stmn3	ly6h	atp1b1	pcsk1n	atp2b1	
tmsb4x	cst3	apoe	hexb	lgmn	tyrobp	c1qa	sparc	c1qb	c1qc	
hbb-bs	tmsb4x	actb	sparc	mt-nd5	cst3	jun	hsp90ab1	rgs5	hbb-bt	
hsp90ab1	hnrnpa2b1	smc4	ccnd2	dlx1	hnrnpab	ezh2	fkbp3	ncl	smc1a	
mt-nd1	cst3	snhg11	tmsb4x	mt-cytb	apoe	sepw1	dbi	ly6h	cxcl14	
mt-nd1	mt-nd4	mt-cytb	cck	snhg11	cxcl14	atp2b1	ly6h	atp1b1	stmn3	
neurod6	hnrnpa2b1	hsp90ab1	stmn2	rsrc2	serbp1	jun	h2afv	eif4g2	nusap1	
tmsb4x	actb	cst3	apoe	mt-nd1	hexb	ctsb	c1qb	ctsd	c1qa	
mt-nd1	tuba1a	rtn1	tubb2b	tmsb4x	mt-cytb	nnat	mt-nd4	stmn2	tubb3	
bsg	tmsb4x	actb	mt-nd1	mt-cytb	sparc	sepp1	igfbp7	calm1	mt-nd4	
actb	tmsb4x	cst3	mt-nd1	rgs5	arpp21	calm1	pcp4	sparc	snhg11	
tuba1a	nnat	tubb2b	tmsb4x	tubb3	tubb5	tmsb10	sox4	sox11	rtn1	
tmsb4x	cst3	apoe	actb	hexb	ctsd	c1qb	ctsb	c1qc	c1qa	
tmsb4x	bsg	actb	sparc	igfbp7	calm1	cst3	fabp7	ncl	pfn1	
mt-nd1	bsg	tmsb4x	ptn	npy	neurod6	tsc22d1	snhg11	igfbpl1	itm2b	
hsp90b1	flt1	mest	hspa5	anp32b	hnrnpa2b1	smarcc2	ncl	dlx1	smc4	
mt-nd1	actb	mt-cytb	snhg11	mt-nd4	arpp21	pcp4	atp2b1	rtn1	nrgn	
mt-nd1	tmsb4x	sepw1	snhg11	rtn1	cxcl14	stmn2	stmn3	cck	tmsb10	
fabp7	dbi	hsp90ab1	serbp1	ncl	vim	ccnd2	rbm25	anp32a	rplp1	
mt-nd1	bsg	actb	mt-cytb	mt-nd2	atp2b1	mt-nd4	sparc	pcp4	mt-nd5	
hsp90ab1	hnrnpa2b1	ncl	top2a	ccnd2	nasp	serbp1	smc4	ezh2	marcks	
tmsb4x	mt-nd1	cst3	mt-cytb	snhg11	mt-nd4	sepw1	npy	rtn1	actb	
tubb5	ccnd2	sox4	hsp90ab1	hnrnpa2b1	sox11	top2a	h2afv	ezh2	dek	
snhg11	sst	ccnd2	stmn2	mt-nd2	ramp1	bsg	fnbp1l	reln	ptms	
fabp7	cdkn1c	ttc3	vip	hsp90ab1	cxcl14	npy	stmn4	pafah1b1	dlk1	
bsg	sparc	cox4i1	srrm2	podxl2	dbi	hbb-bs	olig1	hba-a1	tspan3	
apoe	tmsb4x	sepp1	tyrobp	ctsb	cst3	lyz2	c1qc	itm2b	c1qa	
hsp90ab1	fabp7	ccnd2	top2a	ezh2	dek	nasp	serbp1	ncl	dbi	
gap43	anp32a	meis2	tuba1a	map1b	bcl11b	foxp1	ebf1	hsp90ab1	tubb3	
tmsb10	sepw1	npy	rtn1	mllt11	mef2c	mt-nd1	tmsb4x	ly6h	snhg11	
tmsb4x	apoe	cst3	actb	pabpc1	c1qb	lgmn	hexb	ctsd	c1qc	
sox4	tmsb4x	nfib	sepw1	serp2	slc25a4	stmn2	meis2	thra	h3f3b	
rgs5	bsg	fabp7	actb	ncl	jun	mt-nd5	smc4	top2a	sept11	
actb	hsp90ab1	tcf4	cald1	cdk11b	tmsb10	pfn2	usp33	gapvd1	tubb5	
mt-nd1	mt-cytb	mt-nd4	snhg11	cxcl14	rtn1	ly6h	stmn3	npy	atp1b1	
nasp	ccnd2	ncl	hnrnpa2b1	hsp90ab1	tmsb4x	top2a	anp32a	smc4	dlx1	
tmsb4x	cst3	actb	apoe	ctsb	ctsd	pabpc1	hexb	p2ry12	c1qb	
mt-nd1	actb	hbb-bs	sepw1	snhg11	mt-cytb	pcp4	mt-nd4	arpp21	rtn1	
tmsb4x	actb	sparc	rgs5	bsg	tcf4	mt-cytb	igfbp7	mef2c	sparcl1	
hsp90ab1	hnrnpa2b1	marcks	serbp1	ncl	ptms	rbm25	nnat	fnbp1l	anp32a	
plp1	actb	mt-nd1	mobp	mt-nd4	mt-cytb	tmsb4x	cldn11	snhg11	ncam1	
hsp90ab1	ncl	hnrnpa2b1	serbp1	hnrnpab	marcks	rbm25	ezh2	mt-nd5	top2a	
prdx2	psma7	arl6ip1	rps5	nol7	cdk4	abracl	cenpf	actb	calm1	
fabp7	dbi	ccnd2	hsp90ab1	dek	ncl	nasp	ptn	cst3	h2afv	
hsp90ab1	ncl	ccnd2	serbp1	top2a	hnrnpa2b1	nasp	dek	fabp7	ezh2	
nnat	tuba1a	sox11	tubb5	sox4	tubb3	tubb2b	h3f3b	map1b	prdx2	
bsg	sparc	calm1	rgs5	hsp90ab1	tmsb4x	ncl	anp32a	serbp1	igfbp7	
rgs5	mef2c	calm3	nap1l5	ptms	atp5j	ngfrap1	zic1	hsbp1	gng11	
mt-nd2	calm1	anp32a	marcks	ddx5	mt-cytb	hnrnpa2b1	dek	ccnd2	fubp1	
mt-nd1	mt-cytb	mt-nd4	atp1b1	stmn3	rtn1	snhg11	pcsk1n	ncam1	ly6h	
tuba1a	tmsb4x	tubb2b	tmsb10	actb	rtn1	tcf4	nnat	marcksl1	h3f3b	
tuba1a	tmsb4x	nnat	tubb2b	plp1	tubb3	tubb5	sirt2	tmsb10	rtn1	
fabp7	cst3	dbi	ptn	apoe	ptprz1	mt3	plp1	vim	cd81	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	atp2b1	cxcl14	arpp21	ly6h	atp1b1	
tmsb4x	cst3	apoe	actb	hexb	ctsd	ctsb	c1qb	lgmn	c1qa	
hsp90ab1	hnrnpa2b1	ccnd2	ncl	nasp	serbp1	top2a	dek	ezh2	marcks	
plp1	mt-nd1	sirt2	mt-cytb	dbi	fabp7	cnp	marcks	dynll2	cst3	
mt-nd1	mt-cytb	npy	hsp90ab1	snhg11	rbm25	sst	fabp7	luc7l3	hnrnpa2b1	
hsp90ab1	anp32a	serbp1	ccnd2	hnrnpa2b1	fabp7	ncl	ptma	pabpc1	nasp	
tmsb4x	apoe	cst3	actb	sepp1	c1qb	c1qa	ctsd	hexb	c1qc	
arpp21	plp1	cox4i1	pcp4	ncam1	pcsk1n	cldn11	snhg11	atp5a1	sepw1	
cst3	mt-nd1	apoe	cxcl14	ncam1	npy	sepw1	mt-nd2	actb	tac1	
tmsb4x	cst3	apoe	actb	hexb	ctsd	c1qb	c1qc	ctsb	c1qa	
mt-nd1	fabp7	cst3	mt-cytb	plp1	ptn	mt-nd4	arpp21	snhg11	pcp4	
mt-nd1	mt-cytb	actb	mt-nd4	hbb-bs	arpp21	tmsb4x	snhg11	bsg	ncam1	
hbb-bs	hba-a1	hbb-bt	mt-nd1	actb	snhg11	mt-cytb	pcp4	cxcl14	ncam1	
mt-nd1	mt-cytb	mt-nd4	snhg11	cxcl14	rtn1	ly6h	sepw1	atp1b1	tmsb4x	
apoe	cst3	pabpc1	hsp90ab1	tmsb4x	ncl	dek	ctsb	mt-nd5	ccnd2	
mt-nd1	cxcl14	mt-cytb	snhg11	mt-nd4	ly6h	rtn1	npy	pcsk1n	atp1b1	
ccnd2	hsp90ab1	marcks	hnrnpa2b1	nasp	eif3a	pabpc1	smc4	serbp1	tmsb4x	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	cxcl14	ly6h	atp2b1	atp1b1	pcsk1n	
apoe	tmsb4x	cst3	actb	fabp7	rgs5	sepp1	itm2b	dbi	ptn	
fabp7	dbi	hnrnpa2b1	marcks	mt-nd2	atrx	tac1	snrnp70	sox11	rps20	
apoe	tmsb4x	cst3	sepp1	c1qa	c1qb	ctsb	tyrobp	c1qc	b2m	
actb	hsp90ab1	rgs5	ncl	serbp1	pabpc1	mt-nd5	marcks	nasp	hnrnpa2b1	
npy	sst	mt-nd1	ptn	calm1	rtn1	tmsb4x	stmn3	syt1	gap43	
fabp7	hsp90ab1	dbi	ezh2	smc2	nasp	pou3f3	dek	nedd4	pou3f2	
apoe	tmsb4x	sepp1	cst3	ctsb	lyz2	itm2b	c1qa	b2m	c1qc	
hsp90ab1	hnrnpa2b1	rbm25	actb	hnrnpab	eif3a	id4	cwc22	supt16	ranbp1	
tuba1a	tubb5	nnat	sox4	sox11	tubb3	hsp90ab1	tubb2b	ccnd2	hnrnpa2b1	
mt-nd5	smc4	ncl	mt-nd1	atp2b1	hsp90ab1	hnrnpm	ptn	hnrnpa2b1	top2a	
mt-nd1	cxcl14	dbi	pcsk1n	stmn2	sepw1	mt-nd4	tmsb10	stmn3	cnr1	
tmsb4x	cst3	actb	mt-nd1	pcp4	ctsd	snhg11	sst	npy	hexb	
mt-nd1	ptn	hsp90ab1	rbm25	dbi	calm1	top1	ranbp1	rbp1	mt-cytb	
mt-nd1	sepw1	snhg11	mt-cytb	mt-nd4	rtn1	tmsb4x	cxcl14	mllt11	tmsb10	
fabp7	hsp90ab1	cst3	ptn	dbi	ncl	pabpc1	serbp1	hsp90b1	mt-nd5	
actb	fabp7	mt-nd1	dbi	ptn	mt-cytb	cst3	ncam1	arpp21	ttr	
tuba1a	tubb5	tubb2b	tubb3	nnat	sox4	tmsb4x	rps5	rps14	cfl1	
mt-cytb	mt-nd1	mt-nd5	hsp90ab1	fabp7	mt-nd4	phip	rbm25	hnrnpa2b1	rpl13a	
actb	tmsb4x	cst3	apoe	pabpc1	ctsd	ptms	cpa3	rplp1	csnk1a1	
ttr	mt-nd1	cxcl14	actb	npy	snhg11	mt-cytb	sst	mt-nd4	mt-nd2	
mt-nd1	mt-cytb	rtn1	mt-nd4	snhg11	sepw1	tmsb4x	ly6h	stmn2	cxcl14	
ccnd2	top2a	hnrnpa2b1	dek	serbp1	nasp	h2afv	smc4	hsp90ab1	marcks	
fabp7	dbi	ccnd2	hsp90ab1	h2afv	ncl	dek	top2a	vim	serbp1	
fabp7	dbi	hsp90ab1	dek	ncl	serbp1	nasp	fkbp3	hnrnpa2b1	ptn	
tmsb4x	bsg	mt-nd1	cst3	apoe	fabp7	sparc	calm1	dbi	sepp1	
mt-nd1	tmsb4x	sepw1	snhg11	tmsb10	cxcl14	mllt11	rtn1	npy	mt-nd4	
mt-nd1	cxcl14	reln	mt-nd4	snhg11	sepw1	rtn1	cnr1	mt-cytb	pcsk1n	
rgs5	bsg	actb	sparc	calm1	dbi	cald1	sept7	igfbp7	tmsb4x	
hsp90ab1	ccnd2	nasp	ncl	serbp1	dek	hnrnpa2b1	ezh2	dbi	fkbp3	
hnrnpa2b1	hsp90ab1	ncl	serbp1	nasp	mt-nd5	marcks	ezh2	sox11	pabpc1	
hsp90ab1	tubb5	tuba1a	rps5	hnrnpa2b1	serbp1	ccnd2	ncl	rps9	rpl13a	
tmsb4x	cst3	hexb	calm1	ly6h	lgmn	arpp21	sst	pfn1	ctsd	
tuba1a	tubb5	hsp90ab1	fabp7	dbi	tubb2b	rps5	nnat	rpl8	serbp1	
cst3	apoe	sepw1	ptn	cxcl14	snhg11	dbi	slc1a2	mt1	sparcl1	
tmsb4x	bsg	sparc	calm1	sepp1	igfbp7	pfn1	actb	itm2a	flt1	
hnrnpa2b1	sox11	hsp90ab1	tcf4	top2a	ezh2	nasp	ncl	serbp1	marcks	
