mt-nd1	snhg11	meis2	arpp21	bcl11b	pcp4	ptms	mt-nd5	foxp1	ebf1	
mt-nd1	mt-cytb	snhg11	mt-nd4	cxcl14	rtn1	npy	ly6h	stmn3	pcsk1n	
mt-nd1	mt-cytb	snhg11	mt-nd4	npy	rtn1	stmn3	atp1b1	ly6h	pcsk1n	
mt-nd1	fabp7	dbi	ptn	mt-cytb	hsp90ab1	snhg11	dek	serbp1	mt-nd4	
ccnd2	marcks	eif5b	fbxo5	eif4g2	fyttd1	sp9	gadd45g	smc2	acin1	
tuba1a	nnat	tubb2b	tmsb4x	tmsb10	tubb3	rtn1	tubb5	marcksl1	stmn2	
tuba1a	nnat	tubb5	tubb2b	sox4	tubb3	sox11	map1b	h3f3b	cfl1	
ccnd2	hsp90ab1	hnrnpa2b1	nasp	serbp1	dek	ncl	marcks	h2afv	ranbp1	
mt-nd1	tmsb4x	fth1	rtn1	mt-nd4	mt-cytb	arpp21	snhg11	pcp4	atp2b1	
cxcl14	tcf4	vip	sepw1	dlx1	cnr1	snhg11	cck	nfib	fxyd6	
hsp90ab1	ncl	ccnd2	serbp1	hnrnpa2b1	nasp	dek	pabpc1	smc4	marcks	
mt-nd1	mt-cytb	snhg11	mt-nd4	arpp21	npy	pcp4	sepw1	ly6h	calm1	
hsp90ab1	hnrnpa2b1	ccnd2	hnrnpab	serbp1	sox4	ncl	sox11	hnrnpm	marcks	
hsp90ab1	gap43	basp1	tmsb10	stmn2	ptma	hnrnpab	atpif1	neurod6	fth1	
actb	sparc	mt-cytb	rgs5	igfbp7	gnas	calm1	mt-nd2	fth1	ncl	
fabp7	dbi	hsp90ab1	ptn	ncl	serbp1	hnrnpa2b1	mt-nd5	dek	smc4	
tmsb4x	tuba1a	tubb5	nnat	tubb3	tubb2b	sox4	actb	sox11	marcksl1	
nnat	meis2	sox4	fabp7	tubb5	tuba1a	hsp90ab1	ptn	igfbpl1	bcl11b	
