MGI:MGI:2443198	Slitrk6
MGI:MGI:2676311	Crybg3
MGI:MGI:3646522	Vmn2r82
MGI:MGI:98364	Sox2
MGI:MGI:98362	Sox14
MGI:MGI:3031209	Or1x6
MGI:MGI:98351	Sod1
MGI:MGI:3031299	Or5b111
MGI:MGI:3031297	Or5b109
MGI:MGI:3031296	Or5b108
MGI:MGI:3031295	Or5b107
MGI:MGI:3031293	Or5b106
MGI:MGI:3031292	Or5b105
MGI:MGI:3031291	Or5b104
MGI:MGI:3031288	Or5b102
MGI:MGI:3031287	Or5b101
MGI:MGI:3031285	Or5b99
MGI:MGI:3031284	Or5b98
MGI:MGI:3031283	Or5b24
MGI:MGI:3031282	Or5b12
MGI:MGI:3031281	Or5b97
MGI:MGI:3031280	Or5b96
MGI:MGI:3031279	Or5b12b
MGI:MGI:3031278	Olfr1444
MGI:MGI:3031277	Or5b95
MGI:MGI:3031276	Or5b94
MGI:MGI:3031275	Or5a3
MGI:MGI:3031274	Olfr1440
MGI:MGI:3031272	Or5a21
MGI:MGI:3031271	Olfr1437
MGI:MGI:3031270	Olfr1436
MGI:MGI:3031262	Or4d6
MGI:MGI:3031261	Or4z4
MGI:MGI:3031260	Or4d10c
MGI:MGI:1343135	Ndufs4
MGI:MGI:3031259	Or4d10
MGI:MGI:3031258	Or4d10b
MGI:MGI:3031257	Or4d11
MGI:MGI:3031253	Or10q3
MGI:MGI:3031252	Or10v9
MGI:MGI:3031251	Or10v5
MGI:MGI:3031250	Olfr1416
MGI:MGI:1270843	Pde6d
MGI:MGI:3031249	Olfr1415
MGI:MGI:3031248	Olfr1414
MGI:MGI:3031247	Or9s23
MGI:MGI:3031246	Or9s27
MGI:MGI:3031245	Or9s15
MGI:MGI:3031244	Or9s14
MGI:MGI:3031242	Or10j27
MGI:MGI:3031240	Or10j7
MGI:MGI:3031238	Or10j3b
MGI:MGI:3031230	Or2v2
MGI:MGI:3031229	Or2t26
MGI:MGI:3031227	Or2y1g
MGI:MGI:3031226	Or2y1f
MGI:MGI:3031225	Or2y1e
MGI:MGI:3031224	Or2y17
MGI:MGI:3031223	Or2y1d
MGI:MGI:3031222	Or2y16
MGI:MGI:3031221	Or2y15
MGI:MGI:3031220	Or2y1c
MGI:MGI:3031218	Or2y14
MGI:MGI:3031217	Or2y13
MGI:MGI:3031216	Or2y12
MGI:MGI:3031215	Or2y11
MGI:MGI:3031214	Or2y10
MGI:MGI:3031212	Or1ad6
MGI:MGI:3031211	Or1ad1
MGI:MGI:3031207	Or2y8
MGI:MGI:3031205	Or2y6
MGI:MGI:3031204	Or2p2
MGI:MGI:3031202	Or2ad1
MGI:MGI:3031200	Or1f12
MGI:MGI:3031305	Or5b116
MGI:MGI:3031308	Or5b118
MGI:MGI:3031328	Or10q1
MGI:MGI:2446166	Marveld2
MGI:MGI:2384303	Rp1l1
MGI:MGI:1298234	Kcnk4
MGI:MGI:1924238	Rdh10
MGI:MGI:1298216	Crygs
MGI:MGI:1298204	Ppt1
MGI:MGI:3619066	Mir221
MGI:MGI:3619065	Mir17
MGI:MGI:3619063	Mir107
MGI:MGI:3619060	Mir106b
MGI:MGI:3619057	Mir100
MGI:MGI:3619047	Mir29b-2
MGI:MGI:2142810	Ppip5k2
MGI:MGI:1277949	Obp1a
MGI:MGI:1924125	4930516K23Rik
MGI:MGI:1343464	Rorb
MGI:MGI:2681195	Tas2r105
MGI:MGI:2681185	Tas2r104
MGI:MGI:2681171	Tas2r102
MGI:MGI:88385	Cfh
MGI:MGI:88354	Cdh1
MGI:MGI:3031039	Or4c11c
MGI:MGI:106030	Gucy2d
MGI:MGI:3031076	Or4a70
MGI:MGI:1306776	Map1a
MGI:MGI:2149209	Otoa
MGI:MGI:88296	Cacna1b
MGI:MGI:88293	Cacna1d
MGI:MGI:3629678	Mir706
MGI:MGI:3629656	Mir671
MGI:MGI:1333829	Or8g20
MGI:MGI:1333828	Bfsp2
MGI:MGI:1333826	Or13a17
MGI:MGI:1333824	Or13a18
MGI:MGI:1333821	Or2a57
MGI:MGI:3629631	Mir674
MGI:MGI:1333808	Or7a41
MGI:MGI:3629612	Mir467a-1
MGI:MGI:2149961	Pawr
MGI:MGI:3619396	Mir409
MGI:MGI:3619393	Mir383
MGI:MGI:3619368	Mir361
MGI:MGI:3619367	Mir351
MGI:MGI:3619365	Mir34c
MGI:MGI:3619363	Mir34a
MGI:MGI:3619361	Mir345
MGI:MGI:3619358	Mir342
MGI:MGI:3619352	Mir338
MGI:MGI:2149905	Ugt2a1
MGI:MGI:3619347	Mir331
MGI:MGI:3619341	Mir329
MGI:MGI:3619338	Mir326
MGI:MGI:3619335	Mir324
MGI:MGI:3619333	Mir322
MGI:MGI:3619330	Mir31
MGI:MGI:3619324	Mir301
MGI:MGI:106685	Olfr5
MGI:MGI:106679	Zic2
MGI:MGI:1333790	Or7e165
MGI:MGI:1333786	Car6
MGI:MGI:1333785	Olfr56
MGI:MGI:1333770	Or1a1b
MGI:MGI:1333765	Or4c58
MGI:MGI:1333764	Olfr49
MGI:MGI:1333751	Or10h1b
MGI:MGI:1333750	Or1x2
MGI:MGI:1333749	Or13a20
MGI:MGI:1333746	Olfr50
MGI:MGI:2384571	Cplx3
MGI:MGI:2139607	Usp53
MGI:MGI:1924427	Sobp
MGI:MGI:3619269	Mir296
MGI:MGI:3619267	Mir28a
MGI:MGI:3619266	Mir25
MGI:MGI:2177500	Or2g25
MGI:MGI:2177501	Or10al2
MGI:MGI:2177502	Or10al3
MGI:MGI:2681273	Tas2r126
MGI:MGI:2443075	Cpeb3
MGI:MGI:2177510	Or14j6
MGI:MGI:2177518	Or2n1c
MGI:MGI:2177521	Or2n1e
MGI:MGI:2177522	Olfr139
MGI:MGI:3577767	Grxcr1
MGI:MGI:3629949	Mir501
MGI:MGI:3629945	Mir146b
MGI:MGI:1914609	Loxhd1
MGI:MGI:3629918	Mir92-1
MGI:MGI:2384936	Spns2
MGI:MGI:1278344	Nipsnap1
MGI:MGI:1278313	Coch
MGI:MGI:1889505	B3gnt2
MGI:MGI:3645892	Vmn2r1
MGI:MGI:1914421	Dram2
MGI:MGI:2678394	Vmn2r26
MGI:MGI:3609260	Chrna10
MGI:MGI:3031107	Or4b1c
MGI:MGI:3031124	Or4k42
MGI:MGI:3031139	Or4f56
MGI:MGI:2159458	Vmn1r30
MGI:MGI:2159400	Tmie
MGI:MGI:98493	Tbx1
MGI:MGI:1917912	Clic5
MGI:MGI:98475	Tacr1
MGI:MGI:98474	Tac1
MGI:MGI:3031265	Olfr1431
MGI:MGI:3031393	Or4a80
MGI:MGI:3031389	Or5bb12
MGI:MGI:3031371	Olfr1537
MGI:MGI:3031369	Or2b7
MGI:MGI:3031368	Or5m11
MGI:MGI:3031254	Or10v1
MGI:MGI:3031347	Or10g3b
MGI:MGI:3031346	Or10g3
MGI:MGI:3031345	Or10g1b
MGI:MGI:3031344	Or10g1
MGI:MGI:3031343	Olfr1509
MGI:MGI:3031342	Or4e1
MGI:MGI:3031341	Or4e5
MGI:MGI:3031340	Or4x15
MGI:MGI:3031339	Or9i1b
MGI:MGI:3031338	Or9i16
MGI:MGI:3031336	Or9i1
MGI:MGI:3031335	Or9i2
MGI:MGI:3031334	Or9q1
MGI:MGI:3031333	Or9i14
MGI:MGI:3031331	Or9q2
MGI:MGI:3031330	Or1s2
MGI:MGI:3031329	Or10q12
MGI:MGI:3031327	Or10w3
MGI:MGI:3031325	Or10q1b
MGI:MGI:3031324	Or10w1
MGI:MGI:3031323	Or5b124
MGI:MGI:3031321	Or5b123
MGI:MGI:3031314	Or5b121
MGI:MGI:3031311	Or5b120
MGI:MGI:3031309	Or5b119
MGI:MGI:3031306	Or5b117
MGI:MGI:3031303	Or5b3
MGI:MGI:3031301	Or5b113
MGI:MGI:3031300	Or5b112
MGI:MGI:3031201	Or2b28
MGI:MGI:95283	Edn1
MGI:MGI:3031219	Or2y1
MGI:MGI:3031228	Or2o1
MGI:MGI:88144	Bdkrb1
MGI:MGI:3031236	Or13l2
MGI:MGI:88127	B2m
MGI:MGI:2681312	Tas2r144
MGI:MGI:2681308	Tas2r139
MGI:MGI:2681306	Tas2r138
MGI:MGI:2681304	Tas2r136
MGI:MGI:2681302	Tas2r135
MGI:MGI:2681300	Tas2r134
MGI:MGI:88526	Crygf
MGI:MGI:88525	Cryge
MGI:MGI:88524	Crygd
MGI:MGI:88523	Crygc
MGI:MGI:88522	Crygb
MGI:MGI:88521	Cryga
MGI:MGI:88519	Crybb2
MGI:MGI:88518	Cryba1
MGI:MGI:88515	Cryaa
MGI:MGI:106217	Cacna1e
MGI:MGI:98759	Tjp1
MGI:MGI:98743	Thrb
MGI:MGI:98735	Th
