MGI:MGI:2146030	Slc2a13
MGI:MGI:97314	Nefm
MGI:MGI:2443195	Orai2
MGI:MGI:1330262	Zpr1
MGI:MGI:2443511	Slc9a6
MGI:MGI:98388	Sptbn1
MGI:MGI:98386	Sptan1
MGI:MGI:98385	Spta1
MGI:MGI:3051532	Unc13a
MGI:MGI:98331	Snap25
MGI:MGI:2149021	Unc13c
MGI:MGI:1343102	Robo3
MGI:MGI:88064	Ar
MGI:MGI:88059	App
MGI:MGI:88039	Apc
MGI:MGI:88026	Ank3
MGI:MGI:88024	Ank1
MGI:MGI:88022	Ang
MGI:MGI:98932	Vim
MGI:MGI:1298211	Hcn3
MGI:MGI:1298210	Hcn2
MGI:MGI:1298204	Ppt1
MGI:MGI:106334	Rgs7bp
MGI:MGI:98874	Txn1
MGI:MGI:1924104	Gper1
MGI:MGI:88587	Cyp19a1
MGI:MGI:88586	Cyp17a1
MGI:MGI:98643	Dynlt1b
MGI:MGI:88399	Chrm4
MGI:MGI:88398	Chrm3
MGI:MGI:88397	Chrm2
MGI:MGI:88396	Chrm1
MGI:MGI:88392	Chat
MGI:MGI:88385	Cfh
MGI:MGI:88354	Cdh1
MGI:MGI:88336	Cd40
MGI:MGI:106008	Anxa5
MGI:MGI:1306778	Map1b
MGI:MGI:1306776	Map1a
MGI:MGI:88297	Cck
MGI:MGI:88296	Cacna1b
MGI:MGI:88279	Cbl
MGI:MGI:1914345	Trak1
MGI:MGI:1333805	Srsf10
MGI:MGI:2149961	Pawr
MGI:MGI:1889272	Cadm1
MGI:MGI:106684	Slc18a1
MGI:MGI:106677	Slc18a2
MGI:MGI:1914293	Syap1
MGI:MGI:1333784	Hdac5
MGI:MGI:1333752	Hdac6
MGI:MGI:1313266	Alcam
MGI:MGI:2384571	Cplx3
MGI:MGI:109547	Dnm2
MGI:MGI:1914693	Map1lc3b
MGI:MGI:1278336	Cdkl5
MGI:MGI:2156052	Slc17a6
MGI:MGI:106925	Cldn11
MGI:MGI:3807476	Dynlt1c
MGI:MGI:2384873	Scgn
MGI:MGI:1924750	Ppfia1
MGI:MGI:1914457	Lsm1
MGI:MGI:1914416	Arl8b
MGI:MGI:3609260	Chrna10
MGI:MGI:88275	Ctnna2
MGI:MGI:3845555	Npcd
MGI:MGI:88269	Car2
MGI:MGI:88261	Canx
MGI:MGI:88256	Camk2a
MGI:MGI:88251	Calm1
MGI:MGI:88248	Calb1
MGI:MGI:1353598	Mapk8ip3
MGI:MGI:88228	C4b
MGI:MGI:1353568	Tor1a
MGI:MGI:88208	Bsg
MGI:MGI:98474	Tac1
MGI:MGI:98467	Syp
MGI:MGI:98460	Syn1
MGI:MGI:98419	Sri
MGI:MGI:88145	Bdnf
MGI:MGI:2446259	Ntm
MGI:MGI:88516	Cryab
MGI:MGI:88512	Crp
MGI:MGI:106206	Nrp1
MGI:MGI:98753	Timp2
MGI:MGI:98747	Thy1
MGI:MGI:98735	Th
MGI:MGI:98725	Tgfb1
MGI:MGI:88497	Crhbp
MGI:MGI:88496	Crh
MGI:MGI:88494	Creb1
MGI:MGI:88470	Comt
MGI:MGI:88439	Cntf
MGI:MGI:2446107	Pde2a
MGI:MGI:98297	Shh
MGI:MGI:98277	Epha4
MGI:MGI:98259	Ccl2
MGI:MGI:98250	Scn4a
MGI:MGI:893592	Ager
MGI:MGI:98247	Scn1b
MGI:MGI:98246	Scn1a
MGI:MGI:98241	Stmn2
MGI:MGI:1274781	Robo1
MGI:MGI:98214	Rxra
MGI:MGI:97816	Ptprz1
MGI:MGI:2152453	Gsk3a
MGI:MGI:103147	Dync1h1
MGI:MGI:103149	Uchl1
MGI:MGI:103169	Scn8a
MGI:MGI:103188	Nfib
MGI:MGI:1316660	Cacng2
MGI:MGI:1316649	Sphk1
MGI:MGI:88107	Atp1a3
MGI:MGI:2159341	Ntng2
MGI:MGI:98397	Src
MGI:MGI:109185	Ccn3
MGI:MGI:1195267	Ilk
MGI:MGI:109166	Ncs1
MGI:MGI:2442819	Tshz3
MGI:MGI:109155	Kcnab1
MGI:MGI:109132	Snap91
MGI:MGI:94941	Dvl1
MGI:MGI:2676844	Mir18
MGI:MGI:94927	Drd5
MGI:MGI:94926	Drd4
