MGI:MGI:98331	Snap25
MGI:MGI:1343135	Ndufs4
MGI:MGI:1343101	Kat2a
MGI:MGI:88067	Arc
MGI:MGI:103013	Cacna1c
MGI:MGI:88059	App
MGI:MGI:88057	Apoe
MGI:MGI:98933	Vip
MGI:MGI:1298204	Ppt1
MGI:MGI:1924148	B3gat1
MGI:MGI:88396	Chrm1
MGI:MGI:88392	Chat
MGI:MGI:88314	Ccnd2
MGI:MGI:106030	Gucy2d
MGI:MGI:2142523	Crtc1
MGI:MGI:1343327	Klk8
MGI:MGI:1306776	Map1a
MGI:MGI:88297	Cck
MGI:MGI:1914342	Gatm
MGI:MGI:1914325	Magt1
MGI:MGI:1333815	Cx3cr1
MGI:MGI:2384590	Ndrg4
MGI:MGI:1862037	Slc12a5
MGI:MGI:1313278	Fzd9
MGI:MGI:1924427	Sobp
MGI:MGI:2443075	Cpeb3
MGI:MGI:1924846	Adgrf1
MGI:MGI:106919	Vdac1
MGI:MGI:106913	Abi2
MGI:MGI:2384760	Ttc36
MGI:MGI:88258	Camk4
MGI:MGI:88248	Calb1
MGI:MGI:88232	C5ar1
MGI:MGI:98477	Tacr2
MGI:MGI:98475	Tacr1
MGI:MGI:98474	Tac1
MGI:MGI:98438	Sts
MGI:MGI:88190	Braf
MGI:MGI:88145	Bdnf
MGI:MGI:88127	B2m
MGI:MGI:106918	Hif1a
MGI:MGI:106922	Vdac3
MGI:MGI:2139279	Hrh3
MGI:MGI:3513175	Tmprss11e
MGI:MGI:106217	Cacna1e
MGI:MGI:98742	Thra
MGI:MGI:98735	Th
MGI:MGI:88498	Crhr1
MGI:MGI:88496	Crh
MGI:MGI:88494	Creb1
MGI:MGI:88470	Comt
MGI:MGI:106179	Shc3
MGI:MGI:1316743	St3gal4
MGI:MGI:893592	Ager
MGI:MGI:98217	S100b
MGI:MGI:97816	Ptprz1
MGI:MGI:88107	Atp1a3
MGI:MGI:88106	Atp1a2
MGI:MGI:2159342	Pja2
MGI:MGI:1353427	Eif2ak4
MGI:MGI:109155	Kcnab1
MGI:MGI:109147	Oxtr
MGI:MGI:94927	Drd5
MGI:MGI:94926	Drd4
MGI:MGI:94925	Drd3
MGI:MGI:94924	Drd2
MGI:MGI:1920211	Slc17a7
MGI:MGI:94865	Dbi
MGI:MGI:94864	Dbh
MGI:MGI:94860	Ppp1r1b
MGI:MGI:1920145	Setd5
MGI:MGI:3041256	Fam107a
MGI:MGI:3522097	Aph1b
MGI:MGI:3605641	Shisa7
MGI:MGI:2443113	Jph4
MGI:MGI:1195966	Ctnnd2
MGI:MGI:1917487	Bhlhb9
MGI:MGI:1917457	Taco1
MGI:MGI:1917431	Ythdf1
MGI:MGI:3642232	Nps
MGI:MGI:1927653	Gpr88
MGI:MGI:1196627	Htr6
MGI:MGI:109392	Esr2
MGI:MGI:1913894	Uba6
MGI:MGI:2135601	Slc1a4
MGI:MGI:103022	Reln
MGI:MGI:1096391	Nrxn1
MGI:MGI:1096389	Nrxn3
MGI:MGI:1099790	Plk2
MGI:MGI:1888519	Lmx1a
MGI:MGI:1913509	Camk2n1
MGI:MGI:95808	Gria1
MGI:MGI:1927549	Foxb1
MGI:MGI:95819	Grin1
MGI:MGI:1917278	Dop1b
MGI:MGI:103574	Amph
MGI:MGI:103576	Ccl11
MGI:MGI:103581	Musk
MGI:MGI:2664186	Npas4
MGI:MGI:109565	Kmt2b
MGI:MGI:109521	Htr2a
