MGI:MGI:2443181	Dlgap2
MGI:MGI:1330235	Gabre
MGI:MGI:3051532	Unc13a
MGI:MGI:98331	Snap25
MGI:MGI:2149021	Unc13c
MGI:MGI:103013	Cacna1c
MGI:MGI:2446173	Farp1
MGI:MGI:103020	Syn2
MGI:MGI:700014	Sorbs1
MGI:MGI:98970	Xbp1
MGI:MGI:98961	Wnt7a
MGI:MGI:98956	Wnt3a
MGI:MGI:1298218	Lrp6
MGI:MGI:1298204	Ppt1
MGI:MGI:3775191	Nlgn4l
MGI:MGI:88399	Chrm4
MGI:MGI:88398	Chrm3
MGI:MGI:88397	Chrm2
MGI:MGI:88396	Chrm1
MGI:MGI:88392	Chat
MGI:MGI:1306800	Pcdh8
MGI:MGI:88323	Cd24a
MGI:MGI:106039	Dtna
MGI:MGI:2142523	Crtc1
MGI:MGI:1306780	Egr3
MGI:MGI:88296	Cacna1b
MGI:MGI:88293	Cacna1d
MGI:MGI:88282	Cbln2
MGI:MGI:1924574	Sorbs2
MGI:MGI:1889272	Cadm1
MGI:MGI:1862037	Slc12a5
MGI:MGI:1313277	Vamp2
MGI:MGI:106618	Tpgs1
MGI:MGI:1333751	Or10h1b
MGI:MGI:1333745	Snapin
MGI:MGI:2384571	Cplx3
MGI:MGI:1352454	Nr4a1
MGI:MGI:2156052	Slc17a6
MGI:MGI:106919	Vdac1
MGI:MGI:1924781	Anks1b
MGI:MGI:3609260	Chrna10
MGI:MGI:88276	Ctnnb1
MGI:MGI:88258	Camk4
MGI:MGI:98474	Tac1
MGI:MGI:98467	Syp
MGI:MGI:98460	Syn1
MGI:MGI:88190	Braf
MGI:MGI:88145	Bdnf
MGI:MGI:106922	Vdac3
MGI:MGI:2139279	Hrh3
MGI:MGI:106217	Cacna1e
MGI:MGI:106213	Chrna6
MGI:MGI:106212	Chrnb3
MGI:MGI:98735	Th
MGI:MGI:1924037	Ppfia3
MGI:MGI:88497	Crhbp
MGI:MGI:88496	Crh
MGI:MGI:2152972	Rims2
MGI:MGI:2152971	Rims1
MGI:MGI:106179	Shc3
MGI:MGI:893577	Stx4a
MGI:MGI:103156	Gabrg1
MGI:MGI:1353470	Pdlim4
MGI:MGI:109183	Fgf12
MGI:MGI:109132	Snap91
MGI:MGI:94941	Dvl1
MGI:MGI:94927	Drd5
MGI:MGI:94926	Drd4
MGI:MGI:94925	Drd3
MGI:MGI:94924	Drd2
MGI:MGI:1920228	Cnih3
MGI:MGI:1920211	Slc17a7
MGI:MGI:94862	Slc6a3
MGI:MGI:3522097	Aph1b
MGI:MGI:1917524	Ly6g6e
MGI:MGI:95620	Gabrb2
MGI:MGI:103301	Cacnb4
MGI:MGI:103307	Cacnb3
MGI:MGI:2179435	Nlgn1
MGI:MGI:1096867	Etv5
MGI:MGI:3642232	Nps
MGI:MGI:101802	F2r
MGI:MGI:1196627	Htr6
MGI:MGI:109356	Snap23
MGI:MGI:109355	Stx1a
MGI:MGI:1101061	Slc18a3
MGI:MGI:1930705	Stx1b
MGI:MGI:109323	Htr2b
MGI:MGI:3605068	Insyn2a
MGI:MGI:2135609	Lin7a
MGI:MGI:1096391	Nrxn1
MGI:MGI:1096389	Nrxn3
MGI:MGI:1096376	Exoc4
MGI:MGI:105976	Myo5a
MGI:MGI:1888527	Apba3
MGI:MGI:1923711	Anxa9
MGI:MGI:1277225	Cnih2
MGI:MGI:95808	Gria1
MGI:MGI:95816	Grik3
MGI:MGI:95817	Grik4
MGI:MGI:95818	Grik5
MGI:MGI:95819	Grin1
MGI:MGI:2135960	Slc12a6
MGI:MGI:2664186	Npas4
MGI:MGI:109521	Htr2a
MGI:MGI:109520	Pafah1b1
MGI:MGI:1861899	Htr3b
MGI:MGI:2442401	Ppp1r9a
MGI:MGI:1203728	Dtnb
MGI:MGI:1858257	Mpp2
MGI:MGI:1346065	Dlgap1
MGI:MGI:1346030	Ly6h
MGI:MGI:95718	Gjc1
MGI:MGI:1861755	Nsmf
